index	lp	original	translation	z_mean
50	zh-en	﻿我们像傻瓜一样哭着笑着～～原来这才是真相～这才是我执意以为玩笑的真相～～～有犹豫就千万别做事情～别指望别人因你而改变～别浪费眼泪在不值得的人身上～～～即使忍不住～～～	We were crying and laughing like fools~~ So this is the truth~ This is the truth I insisted on joking~~ Don’t do anything if you are hesitant~ Don’t expect others to change because of you~ Don’t waste your tears On someone who is not worth it~~~ Even if I can't help it~~~	0.664562616
51	zh-en	在咖啡上面，棉花糖都会下雨！下雨了，下雨了，	On top of coffee, marshmallows will rain! It's raining, it's raining,	0.664562616
52	zh-en	心情差极了，好久没有这么生气了，中介就是个引子，赶上他倒霉，今天一天都不顺利，很少有这么差的运气和心情了只想骂人骂人！对不起这个微博小号了，全是心情不好的帖子啊啊啊啊啊(ಥ_ಥ)还是好郁闷	I'm in a very bad mood. I haven't been so angry for a long time. The intermediary is an introduction. It's unfortunate to catch up with him. Today's day is not smooth. It's rare to have such bad luck and mood. I just want to scold people! I’m sorry for this Weibo account, it’s full of bad mood posts ah ah ah ah ah ah ah ah ah ah ah (ಥ_ಥ) still very depressed	0.664562616
53	zh-en	园中的主要亮点是钵池山和水面面积达540亩的山子湖这里是淮安市最大的综合性公园。	The main highlights of the park are Bochi Mountain and Shanzi Lake with a water surface area of ​​540 mu. This is the largest comprehensive park in Huai'an City.	0.664562616
54	zh-en	那些上下班时间在车里吃面吃包子的在轻轨上吃烤肠的看到人多就放屁的	Those who eat bread and buns in the car during commuting hours, and those who eat sausages on the light rail, fart when they see a lot of people	0.664562616
55	zh-en	四个月以后一个中转的航班都能被订完？？？万能的微博这合理吗？？？	Can a connecting flight be booked after four months? ? ? Almighty Weibo Is this reasonable? ? ?	-0.071919367
56	zh-en	转眼明天又星期四，时间过的不是一般的快。	In the blink of an eye, tomorrow is Thursday again, and time does not pass so fast.	-0.071919367
57	zh-en	这人情搭的我心不甘情不愿感觉自己像个傻比一样合着嘴里含口土不光得笑着咽下去还要谢谢喂我土的人我他妈下次再搞不清楚情况瞎jb感谢就罚我变成罐头被端午吃掉	I'm unwilling to feel like a fool with this kind of love Thank you and punish me for turning it into a can and being eaten by the Dragon Boat Festival	-0.80840135
58	zh-en	史上，最难用卷发棒！！！我编个辫子再拆开，都比它夹的卷！！！	The hardest curling iron ever! ! ! I braid it and then take it apart, it's better than the curl it holds! ! !	0.664562616
59	zh-en	完全没得瞌睡～明早怎么起得来啊！	I don't have to fall asleep at all~ How can I get up in the morning!	-0.80840135
60	zh-en	钟情于黑马的我们有多久没见了呢？那些我们曾经说好了的如今还算不算数？	How long has it been since we fell in love with dark horses? Are those things that we once said still count?	0.664562616
61	zh-en	周一早上状态不佳，都怪昨晚作死	I'm not in good shape on Monday morning, it's all because of my death last night	-0.80840135
62	zh-en	学业。事业。爱情。终究不能兼得。	study. cause. love. Can't have both after all.	0.664562616
63	zh-en	我只想拌个黄瓜，结果又是黑暗料理	I just want to mix a cucumber, it turns out to be a dark dish again	0.664562616
64	zh-en	准备买房了，突然有了压力，以后各种的活动旅游都没有了	I'm about to buy a house, but suddenly I'm under pressure, and there will be no more activities and travel in the future.	0.664562616
65	zh-en	听说在北方冬天收衣服真的是这个样子的？	I heard that collecting clothes in the northern winter is really like this?	0.664562616
66	zh-en	我已经被楼上装修的逼疯了，一到午休时间就轰隆轰隆	I've been driven crazy by the decoration upstairs, and it's rumbling as soon as the lunch break is over.	-0.071919367
67	zh-en	都这时候了，睡觉还能被蚊子咬肿了嘴巴也真是醉醉的。蚊坚强！带着你的弟兄们快离开	At this time, it is really drunk to be bitten by mosquitoes while sleeping with a swollen mouth. Mosquito is strong! Take your brothers and leave	-0.80840135
68	zh-en	素质啊素质，没救了，只顾自己停车停的爽	Quality, quality, no help, just caring about the coolness of parking	-0.80840135
69	zh-en	每次看到这糟头发，我就想吃药。长不长头发难道还是剪	Every time I see this bad hair, I want to take medicine. Should I cut my hair long?	-0.071919367
70	zh-en	静不下来，静不下来，静不下来～～～	Can't be quiet, can't be quiet, can't be quiet	0.664562616
71	zh-en	南充高中转着正在感叹学校修得大气磅礴，教研组长王老师大汗淋漓跑来解释这石雕：石打九书（十打九输），上面顶了个日晷（日了鬼），刚刚还在感叹人家学校雕塑多有文化，书籍和时间，结果瞬间自己变石雕了…	Nanchong High School was sighing that the school was built magnificently. Teacher Wang, the head of the teaching and research team, came to explain the stone sculpture: stone beats nine books (ten beats and nine loses), with a sundial on it (sunrise ghost). Sculptures have many cultures, books and time, and they turned into stone sculptures in an instant...	-0.071919367
72	zh-en	嘤嘤嘤翻牌了开森受宠若惊晚安么么哒	嘤嘤嘤 flopped, Kaisen is flattered, good night, okay?	-1.544883333
73	zh-en	心疼哭，找个医生好好照顾他，赶紧好起来呀，我们要看到一个活泼的健康的boy，其他的都不重要了	I feel distressed and cry, find a doctor to take good care of him, get well soon, we want to see a lively and healthy boy, the rest is not important	0.517266219
74	zh-en	这个月我都第二次躺病床上啦。他大爷，往年没这么衰啊！	This is my second time in bed this month. His uncle, it wasn't so bad in previous years!	-0.80840135
75	zh-en	这一天天的，天天背题，头都大了，	Day by day, day by day, my head is getting bigger,	-0.80840135
76	zh-en	韩束那个居然是演唱会双11以后哪还有钱买门票	That Han Shu is actually a concert after Double 11, how can there be money to buy tickets	0.664562616
77	zh-en	燥死了，烦死了，还是一个人睡好	I'm tired, I'm bored, I'd better sleep alone	-0.80840135
78	zh-en	肥成猪！！！明天开始真不能吃了！！！WTF争气一点啊我！！	Fat pig! ! ! I can't eat it starting tomorrow! ! ! WTF is a little bit better, ah me! !	-0.80840135
79	zh-en	这位居然是。。。赵忠祥！不同角度的视觉效果也太不一样了！	This one is. . . Zhao Zhongxiang! The visual effects from different angles are too different!	0.664562616
80	zh-en	啊啊啊啊啊啊啊啊，破PPT整死我算了	Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	-0.80840135
81	zh-en	有个问题是“听过一万张唱片是什么体验”。没什么体验，就是每次被问“你最喜欢什么类型的音乐”时张口结舌，好不容易说个“没什么固定类型，还是看好不好听”又烦自己废话那么多	"One question is ""what's the experience of listening to 10,000 records"". I don't have much experience, but every time I'm asked ""what type of music do you like the most"", my mouth is stunned, and I finally say ""I don't have a fixed type, so I'd better like it or not."""	-0.80840135
82	zh-en	记住了！千万别惹我！否则你怎么死的都不知道	remember! Don't mess with me! Otherwise you don't know how you died	0.664562616
83	zh-en	老師成功拖堂六分鐘，七分鐘。，，，，	The teacher successfully dragged the class for six minutes, seven minutes. ,,,,	-0.80840135
84	zh-en	什么叫做深闺大小姐！我只是出了车祸在家里养伤，过两天自然会去上班，碍您哪里了！一直待在家里游手好闲的可不是我！	What is a boudoir eldest lady! I just had a car accident and was recuperating at home. I will naturally go to work in two days. What's wrong with you! I'm not the one who stays at home all the time loafing around!	0.517266219
85	zh-en	连续吊了两天每次针孔插进去的那刻都怕	Hanging for two days in a row, every time the pinhole is inserted, I am afraid	0.664562616
86	zh-en	与其说战争是政治的延续，不如说战争是经济的延续。这次局部的摩擦，明显已经在向危险和不可控边缘滑落，它反应的是目前世界经济状况堪忧，大国之间的资源争夺与政经博弈在全球都会进一步的加剧——如果子弹代替了合作，那只能说明经济形势已经糟糕到合作已经无法共赢，而只有用刀子抢劫了。	War is not so much a continuation of politics as it is a continuation of economics. This local friction has obviously slipped to the edge of danger and uncontrollability. It reflects the current world economic situation is worrying, and the competition for resources and political and economic games between major powers will further intensify around the world - if bullets replace cooperation , it can only show that the economic situation is so bad that cooperation can no longer win, and only robbery with a knife.	0.664562616
87	zh-en	本喵get了新技能，技能点都点在这些没卵用的地方了考试怎么办	I got new skills, and the skill points are all in these useless places. What should I do in the exam?	0.664562616
88	zh-en	快被蚊子咬死了。不知道这一躺下，什么时候又被咬起来了。	Almost killed by mosquitoes. I don't know when I lay down and was bitten again.	-0.071919367
89	zh-en	喜欢微风拂面的感觉，清风袭来，所有的烦恼都跑光了，或许还会有意外的收获	I like the feeling of the breeze blowing my face. When the breeze hits, all the troubles are gone, and there may be unexpected gains.	0.664562616
90	zh-en	你爱喝的咖啡调配比例在这里，在这里，在这里	Your favorite coffee blend ratio is here, here, here	0.664562616
91	zh-en	天天在想跟谁可以借钱，都不能安心看书了，看书效率也低，可能都考不上了，不想考了，出去流浪算了	Every day I wonder who I can borrow money from, but I can’t read with peace of mind. The efficiency of reading is also low, and I may not be able to pass the test. I don’t want to take the test.	-0.071919367
92	zh-en	看看这位武林人士，拿着一把大刀，留着一头极为个性的头发！行走在茫茫人海中，穿梭在大街小巷，回头率1000％我想说的是，您老是不是穿越过来的？	Look at this martial arts man, holding a big knife, with a head of very individual hair! Walking in the vast sea of ​​people, shuttling in the streets and alleys, the rate of return is 1000%. What I want to say is, have you always crossed over?	-0.80840135
93	zh-en	我也不知道我为什么大冬天啃冰棍…嗓子要冒烟…彻底感冒…	I don't know why I eat popsicles in winter... my throat is smoking... I have a cold...	0.664562616
94	zh-en	我晕真的是不想管了真的受够了郁闷烦躁	I'm dizzy, I really don't want to worry about it, I'm fed up with being depressed	-0.80840135
95	zh-en	為什麼球門有框！真的是醉了，國足，你們能不能讓大家歡呼一場！！	Why is the goal framed! Really drunk, the national football team, can you make everyone cheer! !	-0.80840135
96	zh-en	今天是什么日子啊，我妈对我不满意，我爸对我不满意，我妈对我爸不满意，我爸对我妈也不满意，我对我爸妈不满意，都不满意，还有今天的地铁也挤得完全没人性	What day is it today, my mother is not satisfied with me, my father is not satisfied with me, my mother is not satisfied with my father, my father is not satisfied with my mother, I am not satisfied with my parents, not satisfied, still Even today's subways are completely inhuman.	0.664562616
97	zh-en	天天在另一个号混已经忘了这个号了，然后惊奇的发现有人送这个号三月会员。。。感动到死！好！我要报告我最近干嘛去了，大概就是前天吧，病的比较严重，当时疼得比较厉害。在我们班长和老师陪了一整晚打吊瓶后就完全恢复了。	I have forgotten this account in another account every day, and then I was surprised to find that someone gave this account a March membership. . . Impressed to death! it is good! I want to report why I went there recently, probably the day before yesterday. I was seriously ill, and the pain was severe at the time. After a whole night of hanging bottles with our monitor and teacher, I recovered completely.	0.664562616
98	zh-en	竟然是民主党我一直以为自己是自由党	It turned out to be a Democrat, I always thought I was a Liberal	0.664562616
99	zh-en	妈蛋！刚睡着，被个酒鬼同事打电话又给吵醒啦	Damn it! Just fell asleep and was woken up by an alcoholic colleague on the phone	0.664562616
100	zh-en	今早瑶破天荒6点40就醒了，要知道平常不到7点半绝不起床，赖床大王提前出门送瑶去学校，本来每天只送到学校路口，今天头脑一热把车开进了往学校的小马路，果不其然被堵在里面掉不得头超不喜欢这样的下雨天～	This morning, Yao woke up at 6:40 for the first time in history. You must know that she usually never gets up before 7:30. The king of the bed went out early to send Yao to school. Originally, it was only sent to the school intersection every day. The small road to the school, as expected, was blocked inside and couldn't turn around. I don't like such rainy days~	0.664562616
101	zh-en	手机砸脸上了，真疼，生气了，不玩了、碎觉！	The phone hit my face, it really hurts, I get angry, stop playing, and feel broken!	0.517266219
102	zh-en	人人有剪刀,人人会剪纸,人人有作品,人人能创作是学校的口号和目标。	Everyone has scissors, everyone can cut paper, everyone has works, and everyone can create is the school's slogan and goal.	0.664562616
103	zh-en	建议直接物理阉割，化学阉割太便宜他了。不是人的狗东西	Direct physical castration is recommended, chemical castration is too cheap for him. not human dog	-0.80840135
104	zh-en	三天补完了黎明之前最好谍战没有之一全剧智商在线就是太虐了啊波酥心疼死我了	After three days of making up for the best spy battle before dawn, there is no one of the best spy battles in the whole drama. IQ Online is too cruel. Bosu hurts me to death	-2.281365316
105	zh-en	“单恋最开心，对方一个问候，就会高兴个半天。不管对方怎样反应，自己开心就好。可是在一起后，便开始计较得失。总是希望付出与收获成正比。计较着计较着，也就没多少感情剩下了。”	"""Unrequited love is the happiest, and the other party will be happy for a long time when they greet each other. No matter how the other party reacts, it's good for you to be happy. But after being together, you start to care about the gains and losses. You always hope that the effort will be proportional to the gain. There's not much emotion left."""	-0.071919367
106	zh-en	为什么总是要在只有我一个人的时候互相残杀？这样我会很尴尬的啊，我害怕啊！鸡皮疙瘩掉一地！已经没有什么比捞死鱼跟恐怖的事了[抓狂][抓狂]	Why are they always killing each other when it's just me? I will be embarrassed, I am afraid! Goosebumps all over the place! There is nothing scarier than catching dead fish [crazy] [crazy]	0.517266219
107	zh-en	整天生一些有七没八的破事折腾人，天怒人怨遭雷劈！！！	There are some bad things happening all day long, tossing people, the anger of the sky and the resentment of being struck by lightning! ! !	-0.80840135
108	zh-en	突然意识到一件事，其实从喜好到口味.........我算胖蛋的男粉吧！？	Suddenly realized one thing, in fact, from liking to taste...... I am a fat man fan! ?	0.664562616
109	zh-en	前面醒来两脚冰凉，这会已经不太冰了，再量39.4，真的又烧起来了	I woke up in front of my feet and my feet were cold. It's not too cold anymore. I measured 39.4 again, and it really burned again.	-0.071919367
110	zh-en	今天他因为我关了他电脑他捶电脑了，很恐怖，原来他应该是有点暴力倾向的，当初我玩游戏他关我电脑我也没这样啊，说实话我很害怕，我觉得我不敢跟这样的人一起生活，现在是游戏，以后我要是动了他什么东西可能就该打我了吧，很伤心	Today he beat the computer because I turned off his computer. It's very scary. It turns out that he must be a little violent. When I was playing games, he turned off my computer and I didn't do the same. To be honest, I was very scared. Living with such a person, now it's a game, if I touch him in the future, maybe I should hit me, very sad	0.664562616
111	zh-en	买闪闪拼团的周边真的好蛋疼，总是被自留不说，总是被捆不说，还特么要快	It's really painful to buy the surrounding of the glittering group. I'm always kept by myself, and I'm always tied up, so I have to hurry up.	-0.80840135
112	zh-en	好像上高中以来第一次被骂的要哭，鼻子酸	It seems that for the first time since I was in high school, I was scolded and wanted to cry, and my nose was sore.	0.664562616
113	zh-en	介个女人说会疼我一辈子👭我信啦hiahia	Tell a woman that she will hurt me for the rest of my life 👭 I believe it hiahia	-0.80840135
114	zh-en	今天nt.我一看到扭曲两个字直接吓哭，全身瘫软。后来问了医生和比超师，他们都说没问题，这是术语，我好害怕，真的真的什么也不能承受了，脐带扭转是我这辈子的噩梦，求上天保佑我这次一定平平安安的把宝宝带到这个世界上。	Today nt. When I saw the word twisted, I was scared to cry, and my whole body went limp. Later, I asked the doctor and Master Bichao, they all said no problem, this is a term, I am so scared, I really can't bear anything, the twisting of the umbilical cord is the nightmare of my life, please God bless me this time. An'an brings the baby into this world.	0.664562616
115	zh-en	中山南二路宛平路OTZ……我很多长辈都住那片儿。土方车真的很吓人，车身沉重刹车不便司机视野也很不好，正常人看到了都会下意识让让开的——但是有很多土方车闯红灯抢黄灯已经很习惯了！遵纪守法不乱穿马路的老百姓是不是应该去团购钢铁侠的铠甲啊……	Zhongshan South 2nd Road Wanping Road OTZ... Many of my elders live there. Earth-moving trucks are really scary, the heavy brakes make it difficult for drivers to see, and normal people will subconsciously give way when they see them - but many earth-moving vehicles are used to running red lights and grabbing yellow lights! Should ordinary people who abide by the law and don't cross the road chaotically go to buy Iron Man's armor...	0.664562616
116	zh-en	人一旦遵从自己的内心，不顾一切的话，是非常可怕的事情，因为人心本来就是险恶的，一切罪恶的源头都来自于人心，可想而知有多恐怖。	Once a person follows his own heart and is reckless, it is a very scary thing, because the human heart is inherently sinister, and the source of all evil comes from the human heart, so one can imagine how terrifying it is.	0.664562616
117	zh-en	还没拷贝学生提交的作业就关机了，下节课还要继续讲，怎么和学生交代……教师机有写保护，想恢复也恢复不了	The computer shuts down before copying the homework submitted by the students. I will continue to talk about it in the next class. How can I explain it to the students... The teacher's computer is write-protected, and it can't be restored even if I want to restore it.	0.517266219
