,source,MT,emotion_labels,error_types,error_severity
19,下一次既然敢走就不要在凌晨半夜三更跑回来道歉@赵珂宇,"Next time, if you dare to go, don't run back in the middle of the night to apologize @赵KEYU",anger,None,Not at all
20,国足去屎吧以后再也不想看见你们了！！！又一个0比0，彻底无缘2018俄罗斯世界杯,"Fuck the national football team, I don't want to see you again in the future! ! ! Another 0-0, completely missed the 2018 Russia World Cup",anger,None,Not at all
21,有些事越想要越得不到，有些梦只能相信，是这样吗,"Some things the more you want, the more you can't get them, and some dreams can only be believed, right?",sadness,Mistranslation,Somewhere in between
22,最近超喜欢喝金桔柠檬茶，每天中午都顺便买一杯。今晚还想喝，结果发现，同样的店，民治的价格居然比华强北贵了一块钱,"Recently, I like to drink kumquat lemon tea, and I buy a cup every noon every day. I still wanted to drink tonight, but found that the price of Minzhi in the same store is actually a dollar more expensive than Huaqiangbei",surprise,Mistranslation,Yes absolutely
23,我才几天没上，竟然会吃早饭了，还起那么早,"I haven't been there for a few days, but I still have breakfast, and I get up so early",surprise,Omission; Mistranslation,Yes absolutely; Yes absolutely
24,现在哪里能买到这么好的衣服而且是10元,Where can I buy such good clothes now and it's only 10 yuan,surprise,None,Not at all
25,那就是我原来的世界线。不反抗的话，我就会终结在这条世界线上。回想起来真的恐怖至极。当时没有那么恐怖（只是痛苦，过于痛苦，所以要逃），是因为没看到未来。真的是后怕。虽然大概也不用怕，我不可能不逃。我从来没见过把我最熟悉的那种悲剧解释到这个程度的片子。才100分钟。,"That's my original world line. If I don't resist, I will end up on this world line. In retrospect it was terrifying. It wasn't so scary at the time (it was just painful, it was too painful, so I had to run away) because I didn't see the future. Really scared. Although probably don't have to be afraid, I can't escape. I've never seen a film that explains the kind of tragedy I'm most familiar with to this extent. Only 100 minutes.",surprise,Mistranslation,Slightly
26,随缘，就是顺其自然，对一切不强求。人生难免会有困苦，不要惧怕，也不要畏缩，随缘并不是认命，而是对于无法改变的事实，应该学会放下，轻装而行，随遇而安。就像河水，不留恋两岸的风光，不计较旅途的曲折，一心奔向大海。有缘相聚，好自珍惜；无缘离别，安然随之。,"Letting go is to go with the flow, not to force everything. There will inevitably be hardships in life, don't be afraid, don't shrink, follow fate is not to accept fate, but to learn to let go of the facts that cannot be changed, walk lightly, and be at ease with the situation. Just like the river, it does not miss the scenery on both sides, does not care about the twists and turns of the journey, and rushes to the sea with one heart. Destiny to get together, so cherish it;",joy,None,Not at all
27,好傻，还要在别人面前逞强说身边还有你。一直以为自己很幸福。可慢慢觉得自己像个小丑了。,It's so stupid to be brave in front of others and say that you are by your side. I always thought I was happy. But slowly I feel like a clown.,sadness,Mistranslation,Yes absolutely
28,写了一篇稿子，再也睡不着，好困啊只能听英语了,"I wrote a manuscript, I can't sleep anymore, I'm so sleepy, I can only listen to English",sadness,None,Not at all
29,金姐太霸气了：“要么给我爱，要么给我钱，要么给我滚！”我是不是更霸气：“要么给我钱，要么给我钱，要么给我滚！”,"Sister Jin is too domineering: ""Either give me love, or give me money, or get me out!"" Am I more domineering: ""Either give me money, or give me money, or get me out!""",joy,Mistranslation,Yes absolutely
30,你永远不会知道自己有多喜欢某人、除非看到TA喜欢上另外一个人。,You never know how much you like someone until you see that they like another person.,sadness,None,Not at all
31,情绪稳定，心情舒畅，，，，，，，，，，哪里不稳定，，哪里不舒畅了，，，,"Emotional stability, good mood,,,,,,,,,, where unstable,, where uncomfortable,,,",anger,Mistranslation,Yes absolutely
32,今天已经是11月13日了，时间多的太！快！了！没想到期末考试就要来了,"Today is November 13th, so much time! quick! ! I didn't think the final exam was coming",fear,Source error,Somewhere in between
33,无人机就是个安全灾难，彻底把恐怖气氛散播到所有人头上，如果用来搞恐怖袭击怎么防范？我们已经准备在欧洲禁止这个东西了，美国也有类似想法，而且这个对就业和安全的好处远大于它带来的便利。管理汽车就已经很头疼了如果满天都是无人机怎么搞啊！！,"Drones are a security disaster. They completely spread the atmosphere of terror to everyone. How can they be prevented if they are used for terrorist attacks? We're ready to ban this thing in Europe, and the United States has a similar idea, and the benefits to jobs and security far outweigh the convenience it brings. Managing the car is already a headache, what if the sky is full of drones! !",anger,None,Not at all
34,逼事真多，什么狗玩意，老子要回宿舍??????,"There are so many things, what kind of shit, I want to go back to the dormitory??????",anger,None,Not at all
35,@小米看到那个60英寸的电视价格的时候我晕了雷总太会卖关子了,@Xiaomi I fainted when I saw the price of that 60-inch TV,anger,Omission,Somewhere in between
36,一上午CAD崩溃56次还让不让画图了！,CAD crashed 56 times in one morning and let me stop drawing!,anger,Mistranslation,Yes absolutely
37,想起我的几个朋友，以前常开着玩笑说以后要干什么，现在他们，说要当老中医的真的去学了中医，说要做动画的真的去学了动画。而我现在却学着以前想都没想过的专业。你们知道的，我真的，想去，挖，石油。,"I think of a few of my friends who used to joke about what they would do in the future, but now they say that they want to be an old Chinese medicine practitioner and actually learn Chinese medicine. And now I'm studying a major that I never thought of before. You know, I really, want to go, dig, oil.",sadness,Mistranslation; Omission,Yes absolutely; Yes absolutely
38,已经被导播这门课折磨疯身心俱疲考完试再也不想听单身情歌了,"I've been tortured by the director of this class, I'm exhausted physically and mentally, I don't want to listen to single love songs anymore after the exam",anger,None,Not at all
39,嗯每天都下大雨下着下着半个月过去了我只能说日了狗了,"Well, it rains every day, and it rains for half a month. I can only say that it is a dog.",anger,Mistranslation,Yes absolutely
40,永远也改不了这不耐烦的毛病，说一遍不懂就要着急上火不爱搭理了，哎。,"This impatience will never be changed. If you say that you don't understand it again, you will get angry and don't care about it, hey.",sadness,Mistranslation,Yes absolutely
41,老朋友不懂你新情况新朋友不懂你老脾气,"Old friends don't understand your new situation, new friends don't understand your old temper",sadness,None,Not at all
42,圆通你是疯了吗晚上10点发短信给我叫我24点之前去拿快递,Yuantong are you crazy? Send me a text message at 10 o'clock in the evening and tell me to pick up the courier before 24 o'clock,anger,None,Not at all
43,可怕[惊恐]看涨期权，把入手价格固定涨每平方米3000多元。,"Terrible [horrified] call option, the starting price is fixed up by more than 3,000 yuan per square meter.",surprise,None,Not at all
44,不喜欢就要去改变它！！！而非坐以待毙…,"If you don't like it, change it! ! ! Instead of sitting still...",joy,None,Not at all
45,吐槽下，别的地方也不好吐：上午去科院上课，中午出校门，俩保安看我的通行证，二话不说就没收了，一说是旧的，二说是假的。顿时暴脾气上来，索性把校门堵住，跟他理论。你能不能敬业点。。。。,"It's not easy to vomit in other places: I went to the Academy of Sciences in the morning and left the school gate at noon. The two security guards looked at my pass and confiscated it without saying a word. One said it was old, and the other said it was fake. Immediately, his temper came up, and he simply blocked the school gate and reasoned with him. Can you be professional. . . .",anger,Mistranslation; Mistranslation,Yes absolutely; Yes absolutely
46,我这么快还嫌我慢？炸了！心情不好……,"I'm so fast, do you think I'm slow? fried! not in a good mood……",anger,Mistranslation,Yes absolutely
47,一起来，就接了个扯皮的电话。您人品不好，不要来影响我度假的心情啊。您一家人，真真绝逼了，等昊下班回来求吐槽,"Come together and get a nasty phone call. Your character is not good, don't come to affect my holiday mood. Your family is really compelling, wait for Hao to come back from get off work and ask for complaints",anger,Mistranslation,Yes absolutely
48,头发被地铁门夹住了，好在头发够顺，给拽回来了。下一站又被挤出来了！（PS：图与内容无关）,"My hair was caught by the subway door, but fortunately my hair was smooth enough to pull it back. The next stop is squeezed out again! (PS: The picture has nothing to do with the content)",sadness,Mistranslation,Yes absolutely
49,“今天去不去看电影”女生追男的都那么随意应该要说“今天去不去开房”小样哈哈哈哈,"""Whether to go to the movies today?"" Girls are so casual when chasing men, they should say ""Whether to go to the house today"" sample hahahaha",anger,Mistranslation,Somewhere in between
50,在你面前更多的是心智成熟的一面，可是我更想跟你闹更想做你的小公举.,"In front of you is more of a mature side of mind, but I want to make trouble with you more and I want to do your little act.",sadness,Mistranslation,Slightly
51,看姿势，怎么感觉11区是要还原天朝的大邪神Saber？！,"Looking at the posture, how do you feel that District 11 is going to restore Saber, the great evil god of the Chinese Dynasty? !",surprise,Mistranslation,Somewhere in between
52,傻逼傻逼傻逼，在自习室吃完脆枣嗑瓜子，傻逼傻逼大傻逼！,"Stupid, stupid, stupid, nibbling on melon seeds after eating crisp dates in the study room, stupid, stupid, stupid!",anger,None,Not at all
53,注定又将是一个不眠之夜啊，快崩溃了！,"It's destined to be another sleepless night, it's about to collapse!",anger,None,Not at all
54,其实我只是想去按按摩做做护理而已说话可至于嫩难听，骗我没商量！骗就骗呗！哪里都是骗！不骗哪有钱？！烦死了！！！！！！！！！！！真心不能再在家里待了,"In fact, I just want to go to massage and do nursing care, but my words are so tender and unpleasant, I lied to me and didn't discuss it! Cheat, cheat! Lies everywhere! How can you make money without cheating? ! I'm so bored! ! ! ! ! ! ! ! ! ! ! I really can't stay at home anymore",anger,Mistranslation; Mistranslation,Yes absolutely; Slightly
55,想吃冰淇淋。。。我是有多不忌口，只能说我宝身体太好了，百无禁忌,"Craving for ice cream. . . How much do I have no taboos, I can only say that my baby is in good health, and there are no taboos",surprise,None,Not at all
56,看得我不要不要的令人惊叹的平衡艺术！,Look at the amazing art of balance that I don't want!,surprise,Mistranslation,Slightly
57,工作日的航班還真是不錯，不光機票能便宜幾十刀，機場裡到處都空無一人，連過安檢都幾乎只有我一個人似的,"The flights on weekdays are really good, not only the air tickets can be cheaper by dozens of dollars, the airport is empty everywhere, and it seems that I am almost the only one going through the security check.",joy,None,Not at all
58,【山羊也爱玩水，冲浪不输人！！】OMG，简直了～～逆天了～～～,"[Goats also love to play in the water, and surfing is not lost! ! 】OMG, it's just ～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～",surprise,Mistranslation,Yes absolutely
59,当我以为我会失去和他的聊天记录时，我好怕，真的，他在我心中，不曾离开,"When I thought I would lose my chat history with him, I was so afraid, really, he was in my heart and never left",sadness,None,Not at all
60,上个班真心不容易😭，真不知道能坚持多久,"It's really not easy to go to class😭, I really don't know how long I can last",anger,None,Not at all
61,9月初跳到10月初，告知我11月初能放出来，现在又被跳票啦！！！居然要到12月初了，还是尽力为之。。。是不是要跳到明年啊啊啊啊,"I jumped from the beginning of September to the beginning of October, and told me that it would be released in early November, but now I have been bounced again! ! ! It's actually going to be early December, so I still try my best. . . Are you going to skip to next year?",anger,Mistranslation,Yes absolutely
62,最近手机发烫，一会就没电了，什么情况，没得钱钱,"Recently, the mobile phone has become hot, and it will be out of power for a while. What is the situation? I have no money.",anger,None,Not at all
63,好丢脸好丢脸啊啊啊阿啊阿啊阿啊啊,So embarrassing so embarrassing ah ah ah ah ah ah ah ah,anger,None,Not at all
64,男人可以把“我爱你”说的如此轻松！男人确实不能信啊！,"Men can say ""I love you"" so easily! Men can't believe it!",anger,Mistranslation,Somewhere in between
65,朋友嗑瓜子竟然从右边开始。。。不应该是左边开始吗,My friend eating melon seeds started from the right. . . Shouldn't it start on the left?,surprise,Omission,Yes absolutely
66,明知道一个星期都有雨出门还是忘记带伞,"I know it's raining for a week, but I forgot to bring an umbrella",anger,Omission,Slightly
67,还派送不成功，所以你给我打电话了吗？电话呢？😡你送不完我可以理解，但是好歹先给我个电话啊，害我白高兴一场，顺丰什么时候也这样了？,"The delivery was unsuccessful, so did you call me? What about the phone? 😡I can understand that you can't finish the delivery, but at least give me a call first, it will make me happy for nothing. When did SF Express do this?",anger,None,Not at all
68,压力大的时候好想给哥哥打个电话说说话，可是我知道你一定在忙，可是又不知道该跟谁倾诉,"When I'm stressed, I really want to call my brother to talk, but I know you must be busy, but I don't know who to talk to",sadness,None,Not at all
69,又想吃板栗啊，没时间去买啊，开会开到现在还没结束饿死我了,"I want to eat chestnuts again, but I don’t have time to buy them. The meeting has not ended yet. I’m starving to death.",anger,None,Not at all
70,原来的微博莫名其妙的不能登录，只能重新申请了个！,"The original Weibo was inexplicably unable to log in, so I had to re-apply for one!",anger,None,Not at all
71,年纪已经大到凌晨五点做噩梦惊醒后第一件事就是揉着眼睛打开百度在周公解梦查询刚刚做梦的涵义。从前也不信这个却猛然间害怕生老病死这些常事忽然使我再不能触摸你飘摇的后衣襟或是拥抱你的美好。,"I was so old that I woke up from a nightmare at five in the morning and the first thing I did was to rub my eyes and open Baidu in Zhougong Interpretation Dreams to find out the meaning of the dream. I didn't believe this before, but I was suddenly afraid of birth, old age, sickness, and death. All of a sudden, I couldn't touch your swaying back shirt or hug your beauty.",sadness,None,Not at all
72,在外地打电话讲温州话被当成日本人韩国人骂过,Talking in Wenzhou dialect on the phone in other places was scolded as Japanese and Korean,sadness,None,Not at all
73,我是个奇怪的人。冷漠让人厌恶，热情让人害怕。冷面冷心或许更适合我。怜悯不再，慈悲心也越发的没了。遇到了像某个时期被自己厌恶的我，在靠近中越来越不和，聊心，吵架。各种折腾，后归于平静。又发现了一个像某个时期让自己心疼的我，于是不自觉的就贴上去了，好像吓着别人了。所以就该冷漠到底嘛～,"I am a strange person. Indifference is disgusting, enthusiasm is frightening. Cold face and cold heart may be more suitable for me. There is no more compassion, and more and more compassion is gone. I met me who was disgusted by myself at a certain time, and became more and more discordant, chatting and quarreling as I approached. All kinds of tossing, and then return to calm. I found another person who made me feel distressed at a certain period of time, so I posted it unconsciously, as if to frighten others. So you should be indifferent",sadness,None,Not at all
74,再也不让自己饿着了，饿狠之后吃的太猛，现在胃疼到爆，却还不得不忍着继续加班！不开心！,"I will never let myself be hungry again. I eat too much after being hungry, and now my stomach hurts so much that I have to endure and continue to work overtime! unhappy!",anger,None,Not at all
75,上学时间一到，阿梅立刻要阿标回去叫焜胜起床上学，没想到，卖完早餐之後上楼，却看到阿标跟焜胜一起睡著了，阿梅火大，叫醒两人。,"As soon as the school time came, Amei asked Abiao to go back and ask Kunsheng to get up and go to school. Unexpectedly, after selling breakfast, he went upstairs and saw Abiao and Kunsheng fell asleep together. Amei was so angry that she woke them up. .",anger,None,Not at all
76,特别乱。每天睡觉之前都要想想自己今儿该做的都完成了没有明天还需要做什么脑袋真的好累连续三天只要一睡着就梦魇！真他妈心烦。希望今晚喝了牛奶就一定睡个好觉吧！,"Especially messy. Before going to bed every day, you have to think about what you should do today, and there is nothing you need to do tomorrow. Your head is really tired. As long as you fall asleep for three consecutive days, it will be a nightmare! So fucking annoying. I hope you will have a good night's sleep after drinking milk tonight!",anger,None,Not at all
77,丹尼尔克雷格上天天向上这么low的节目拉低了多少007的逼格虽然没有上快乐大本营已经是万幸了鬼佬真是不了解中国国情邦德在我心中是毁了,"Daniel Craig has pulled down how much 007 on a show like Tiantian Upward. Although he is not on Happy Camp, he is lucky. The ghosts really don't understand China's national conditions. Bond is ruined in my heart.",anger,Mistranslation,Somewhere in between
78,为什么老公淘宝看床垫，我的淘宝就自动推送床垫，连淘宝也知道我们是夫妻么？大数据果真如此厉害,"Why does my husband taobao look at the mattress, my taobao automatically pushes the mattress, even taobao knows we are husband and wife? Big data is so powerful",surprise,None,Not at all
79,看到你就想吐听到你说的话就想吐恶心啊倒胃口啊滚啊,"I feel sick when I see you, I feel sick when I hear what you say",anger,Omission,Somewhere in between
80,今天我和我妈一起来健身房，她看到私教对我太严格，画面太美她不忍心看，自己跑去游泳了,"Today I went to the gym with my mother. She saw that the private training was too strict with me, and the picture was too beautiful. She couldn't bear to watch it, so she went for a swim.",sadness,Mistranslation,Somewhere in between
81,熟悉我的朋友都应该知道吧？个人比较钟情于数字22，尤其是2月22日这一天，原因我就不具体说明啦。刚手贱去瞅2016年的2月22日，天啦撸，竟然是正月十五，还是个星期一。更不能忍的是，下学期就是2月22日正式上课！,"Friends who are familiar with me should know that, right? Personally, I prefer the number 22, especially on February 22. I won't explain why. I just took a look at February 22, 2016. Oh my god, it turned out to be the fifteenth day of the first lunar month, and it was still a Monday. What's even more unbearable is that the next semester is officially on February 22!",sadness,Omission,Slightly
82,好喜欢看木下吃饭，真是佩服她的饭量，我得暴食症的时候也没她吃的多，纳闷成名之前她是怎么养活自己的,"I really like watching Kinoshita eat. I really admire her appetite. When I had bulimia, I didn't eat as much as she did. I wonder how she supported herself before she became famous.",surprise,None,Not at all
83,能不能借我看看，基辛格老先生写的《论中国》好厚啊,"Can you lend me a look, Mr. Kissinger's ""On China"" is very thick",surprise,None,Not at all
84,看你最近在忙着装修房子，在添置家具，我猜想你准是要结婚了。在分手一年半以后，我竟然又梦到你，在不远处看着你和新娘一定很幸福吧，原谅我只是最近做的梦太多,"Since you've been busy renovating your house and adding furniture, I'm guessing you're getting married. A year and a half after we broke up, I actually dreamed of you again. It must be very happy to see you and the bride not far away. Forgive me, I just dreamed too much recently.",sadness,Mistranslation,Yes absolutely
85,对话题无感，但看到了一句话:Runningman是一个家族，跑男只是一档节目！！！,"I have no idea about the topic, but I saw a sentence: Runningman is a family, Running Man is just a show! ! !",joy,None,Not at all
86,是《定西孤儿院纪事》的姊妹篇，被誉为“中国的《古拉格群岛》。,"It is a companion piece to ""Chronicles of Dingxi Orphanage"", known as ""China's ""Gulag Archipelago"".",joy,None,Not at all
87,所有东西都是上个世纪的不过价格恐怖,Everything is from the last century but the price is horrible,anger,None,Not at all
88,有的人爱开玩笑，却不知道你的玩笑适不适合场合，玩笑的度能不能把控，明明是自己不会说话，却要怪别人开不起玩笑，这是最傻逼的傻逼！用一句很喜欢的电视剧里的话送你：你跟别人开玩笑，除非别人笑了，否则就不能算为玩笑！你可以小气吧啦的拉黑我，我也可以无所谓你这份高贵的友情！,"Some people like to joke, but they don't know if your joke is suitable for the occasion, whether you can control the degree of jokes, obviously they can't speak, but they blame others for not being able to joke, this is the most stupid fool! I will send you a sentence from a TV series that I like very much: You are joking with others, unless others laugh, it cannot be regarded as a joke! You can be stingy and block me, and I can also ignore your noble friendship!",anger,None,Not at all
89,我只是觉得同进退才是最完美的结局，但是这个想法也不怎么现实…少了谁都会感觉怪怪的更何况你们是同一团队又关系还行少了谁感觉都…如果之前的微博让你们产生误解我表示道歉，总之加油吧，祝福你们🙏🙏🙏,"I just think that advancing and retreating together is the most perfect ending, but this idea is not very realistic... If you lose it, everyone will feel weird, not to mention that you are the same team and your relationship is okay. I apologize for your misunderstanding, in short, come on, bless you🙏🙏🙏",joy,Mistranslation,Slightly
90,从KTV回来，很开心，在最窘迫的时候我还和他们去消费,"I came back from KTV, I was very happy, I even went to spend with them when I was most embarrassed",joy,None,Not at all
91,6：1？我萨威武。梅西伤愈复出，牛刀小试两球……托蒂誓死效忠的罗马，若托蒂走了我会去爱谁……,"6:1? I am mighty. Messi came back from injury, and he tried two goals... Totti swears allegiance to Rome, who will I love if Totti leaves...",surprise,Mistranslation; Mistranslation,Somewhere in between; Somewhere in between
92,网购了“系统无法显示”的快递，昨天晚上送过来竟然没人收，放在一楼奶奶那里快递还搞错给了隔壁一户人家，早上收不到“系统无法显示”的快递惊出一身冷汗,"I bought a courier that was ""unable to be displayed by the system"" online, but no one picked it up last night. The courier placed it at the grandma's on the first floor and it was mistakenly given to a family next door. cold sweat",fear,Omission,Slightly
93,几分钟前刷朋友圈还看到你的微博，当我想留个言_(:3」∠)_才发现莫名其妙被双向了，是我做错了什么...唉,"A few minutes ago, I saw your Weibo while browsing the Moments. When I wanted to leave a message _(:3""∠)_, I found out that it was bidirectional for no reason. I did something wrong... alas",sadness,Mistranslation,Somewhere in between
94,我只是想说。。。。。。。。。。这节奏ZTM累人。。。。。,I just wanted to say. . . . . . . . . . This rhythm ZTM is exhausting. . . . .,anger,Untranslated,Yes absolutely
95,疾控的电话还真像一桶屎，次次还都能浇透透！,"The CDC phone is really like a bucket of shit, and it can be poured through every time!",anger,None,Not at all
96,晕啊，今天又厚起脸皮要了一次，还是没有打给我，抓狂啊,"I'm dizzy, I have the cheek to ask for it again today, but I still haven't called me, I'm crazy",anger,Mistranslation,Slightly
97,周末一个人带娃两天，太耗血了，图七这个，娃一次能光盘，还要再吃两个鸡翅,"Taking the baby alone on weekends for two days is too bloody, this picture 7, the baby can get a CD once, and eat two more chicken wings",sadness,Mistranslation; Mistranslation,Yes absolutely; Somewhere in between
98,以为我是神吗？不会的问我，会的教给我做，我都困傻了,"Do you think I am a god? Ask me if I can't, teach me to do it if I can, I'm sleepy and stupid",anger,Mistranslation; Source error,Somewhere in between; Somewhere in between
99,丢死人了第一次在舞台上唱歌虽然不大但自己也没有准备好开始就忘词,"It's the first time to sing on stage, although it's not big, but I'm not ready to start and forget the lyrics",sadness,Omission,Somewhere in between
100,哈哈，今天才知道，奥特曼有3千5万吨，身高有40米，,"Haha, I just learned today that Ultraman has 350,000 tons and a height of 40 meters.",surprise,None,Not at all
101,啊呜呜呜呜呜呜呜呜呜事好多好多好多。。。明天又是各种报告还要穿正装！！烦死了烦死了。。。呜我要哭一会缓解缓解情绪。。。呜呜呜呜,"Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh. . . Tomorrow is all kinds of reports and I have to wear formal clothes!! I'm so sick of it. . . Woo, I'm going to cry for a while to ease my emotions. . . woo woo woo woo",sadness,None,Not at all
102,英德夹杂，愣是给我听出来了，但没反应过来！,"English and German mixed, I was stunned to hear it, but I didn't react!",joy,Mistranslation,Somewhere in between
103,NND人还没醒就迟了个老到大长沙能不能不下雨能不能不堵车,NND people are too late before waking up. Can you avoid the rain and traffic jams in Changsha?,anger,Untranslated; Mistranslation,Yes absolutely; Somewhere in between
104,昨天晚上莫名前所未有的烦躁，心心念念都是他，凌晨两点多没睡着觉得自己有点疯，知道今天回来，有点开心，没想到事到临头变成这样,"Last night, I was inexplicably irritable, and my thoughts were all about him. I didn’t fall asleep after two in the morning and felt a little crazy. Knowing that I came back today, I was a little happy. I didn’t expect it to turn out like this",sadness,None,Not at all
105,在被窝里突然很想念我的午饭今天中午应该是不太饿所以没吃完老王那个兔崽子还跟我说要不要打包当晚饭吃呵呵他沙拉鸡肉饭味道一级赞的而且是第一次吃超后悔没吃完,"I suddenly missed my lunch in the duvet. I should be not too hungry at noon today, so I didn't finish my meal. That bastard told me if I should pack it for dinner. His salad, chicken and rice tasted great and it was the first time I ate it. I'm so sorry I didn't finish it",joy,None,Not at all
106,谢谢你那么信任我，我能理解已婚女人为了家庭不得不暂时放弃自己前途，放弃大城市的高薪，委屈自己…,"Thank you for trusting me so much, I can understand that married women have to temporarily give up their future for the sake of their families, give up high salaries in big cities, and feel wronged...",joy,None,Not at all
107,今天去医院建卡，从七点半折腾到十点多，抽了七管血,"I went to the hospital today to set up a card. From 7:30 to 10:00, seven tubes of blood were drawn.",anger,Omission,Somewhere in between
108,还没完全关机就盖了盖子，结果第二天就不能正常开机了，开了拯救大师模式，排查了一下午硬件结果没问题，只好恢复系统重装C盘，结果什么都弄好了桌面设置不了，要盯着这个单色的桌面到什么时候呢！好丑啊！能使得办法都试了！我已经狗带,"I closed the lid before it was completely shut down, but the next day I couldn't boot normally. I turned on Rescue Master mode and checked the hardware for an afternoon. The result was no problem. I had to restore the system and reinstall the C drive. No, how long will you be staring at this monochrome desktop? So ugly! I can try all the ways! i have a dog",anger,Mistranslation; Mistranslation,Somewhere in between; Yes absolutely
109,还好，幸亏你没把我忘了，因为我真的很怕被遗忘，谢谢你，大叔，嘿嘿，一定有人好奇这是怎么了，我遇见了一个人，你们叫他老大，点到为止！我在看我是演说家,"Fortunately, fortunately you didn't forget me, because I'm really afraid of being forgotten, thank you, uncle, hehe, someone must be wondering what happened, I met a person, you call him the boss, click here! i'm watching i'm an orator",joy,Mistranslation,Slightly
