lp,src,mt,score
zh-en,突然意识到一件事，其实从喜好到口味.........我算胖蛋的男粉吧！？,"Suddenly realized one thing, in fact, from liking to taste...... I am a fat man fan! ?",0.664562616
zh-en,前面醒来两脚冰凉，这会已经不太冰了，再量39.4，真的又烧起来了,"I woke up in front of my feet and my feet were cold. It's not too cold anymore. I measured 39.4 again, and it really burned again.",-0.071919367
zh-en,今天他因为我关了他电脑他捶电脑了，很恐怖，原来他应该是有点暴力倾向的，当初我玩游戏他关我电脑我也没这样啊，说实话我很害怕，我觉得我不敢跟这样的人一起生活，现在是游戏，以后我要是动了他什么东西可能就该打我了吧，很伤心,"Today he beat the computer because I turned off his computer. It's very scary. It turns out that he must be a little violent. When I was playing games, he turned off my computer and I didn't do the same. To be honest, I was very scared. Living with such a person, now it's a game, if I touch him in the future, maybe I should hit me, very sad",0.664562616
zh-en,买闪闪拼团的周边真的好蛋疼，总是被自留不说，总是被捆不说，还特么要快,"It's really painful to buy the surrounding of the glittering group. I'm always kept by myself, and I'm always tied up, so I have to hurry up.",-0.80840135
zh-en,好像上高中以来第一次被骂的要哭，鼻子酸,"It seems that for the first time since I was in high school, I was scolded and wanted to cry, and my nose was sore.",0.664562616
zh-en,介个女人说会疼我一辈子👭我信啦hiahia,Tell a woman that she will hurt me for the rest of my life 👭 I believe it hiahia,-0.80840135
zh-en,今天nt.我一看到扭曲两个字直接吓哭，全身瘫软。后来问了医生和比超师，他们都说没问题，这是术语，我好害怕，真的真的什么也不能承受了，脐带扭转是我这辈子的噩梦，求上天保佑我这次一定平平安安的把宝宝带到这个世界上。,"Today nt. When I saw the word twisted, I was scared to cry, and my whole body went limp. Later, I asked the doctor and Master Bichao, they all said no problem, this is a term, I am so scared, I really can't bear anything, the twisting of the umbilical cord is the nightmare of my life, please God bless me this time. An'an brings the baby into this world.",0.664562616
zh-en,中山南二路宛平路OTZ……我很多长辈都住那片儿。土方车真的很吓人，车身沉重刹车不便司机视野也很不好，正常人看到了都会下意识让让开的——但是有很多土方车闯红灯抢黄灯已经很习惯了！遵纪守法不乱穿马路的老百姓是不是应该去团购钢铁侠的铠甲啊……,"Zhongshan South 2nd Road Wanping Road OTZ... Many of my elders live there. Earth-moving trucks are really scary, the heavy brakes make it difficult for drivers to see, and normal people will subconsciously give way when they see them - but many earth-moving vehicles are used to running red lights and grabbing yellow lights! Should ordinary people who abide by the law and don't cross the road chaotically go to buy Iron Man's armor...",0.664562616
zh-en,人一旦遵从自己的内心，不顾一切的话，是非常可怕的事情，因为人心本来就是险恶的，一切罪恶的源头都来自于人心，可想而知有多恐怖。,"Once a person follows his own heart and is reckless, it is a very scary thing, because the human heart is inherently sinister, and the source of all evil comes from the human heart, so one can imagine how terrifying it is.",0.664562616
zh-en,还没拷贝学生提交的作业就关机了，下节课还要继续讲，怎么和学生交代……教师机有写保护，想恢复也恢复不了,"The computer shuts down before copying the homework submitted by the students. I will continue to talk about it in the next class. How can I explain it to the students... The teacher's computer is write-protected, and it can't be restored even if I want to restore it.",0.517266219
zh-en,短短几天不在家，我居然瘦了这么多，坐车晕车吃不进去饭，这瘦的速度太惊人。,"In just a few days away from home, I actually lost so much weight that I couldn't eat in the car with motion sickness. The speed of this weight loss was amazing.",0.664562616
